avg_tcp_window_size,std_dev_tcp_window_size,min_data_bytes,max_data_bytes,avg_databytes,std_dev_databytes,total_data_bytes,Processing_time
2439,0.1,74.66,11940.82,2216.1426,2218.4196,853684.98,2020-12-01T07:15:42.607+09:00
2439,0.08,75.6,11926.52,2220.7852,2221.7548,853378.9,2020-12-01T07:20:34.255+09:00
2439,0.12,75.32,11947.52,2211.9336,2214.9996,854187.68,2020-12-01T07:25:24.550+09:00
2439,0.09,75.54,11901.42,2209.2474,2210.153,854439.44,2020-12-01T07:30:45.084+09:00
2439,0.08,75.42,11903.08,2212.109,2211.176,847513.56,2020-12-01T07:35:35.665+09:00
2439,0.07,75.04,11900.66,2217.0116,2216.5924,847358.14,2020-12-01T07:40:27.702+09:00
2439,0.05,75.08,11954.32,2215.4378,2216.5188,847404.18,2020-12-01T07:45:49.119+09:00
2439,0.1,75.12,11957.04,2214.9654,2214.9064,847444.46,2020-12-01T07:50:39.484+09:00
2439,0.11,75.12,11953.98,2216.7192,2218.9992,847369.58,2020-12-01T07:55:29.453+09:00
2439,0.11,75.8,11935.66,2225.2818,2226.8886,846863.6,2020-12-01T08:05:30.643+09:00
2439,0.08,75.62,11898.68,2220.2338,2224.1074,854226.16,2020-12-01T08:10:21.559+09:00
2439,0.09,75.26,11906.18,2209.6764,2212.9824,854973.72,2020-12-01T08:20:31.639+09:00
2439,0.07,75.12,11895.92,2208.2108,2213.7506,855003.74,2020-12-01T08:25:20.980+09:00
2439,0.05,75.94,11902.88,2211.5334,2217.9386,854853.06,2020-12-01T08:30:42.691+09:00
2439,0.09,75.66,11897.44,2209.3296,2213.5134,855001.7,2020-12-01T08:35:33.569+09:00
2439,0.07,75.58,11897.64,2210.8458,2216.3458,854836.66,2020-12-01T08:40:25.179+09:00
2439,0.11,76.02,11855.1,2208.2968,2207.2328,847965.22,2020-12-01T08:45:45.331+09:00
2439,0.07,76.32,11884.8,2211.1568,2212.051,847589.46,2020-12-01T08:50:36.586+09:00
2439,0.08,76.32,11875.94,2205.2978,2207.0618,847766.48,2020-12-01T08:55:25.862+09:00
2439,0.06,76.44,11885.92,2209.1914,2212.2944,847627.02,2020-12-01T09:05:30.331+09:00
2439,0.11,76.52,11874.96,2209.7758,2211.6426,854859.84,2020-12-01T09:10:20.765+09:00
2439,0.12,76.7,11844.68,2199.234,2204.0774,855405.58,2020-12-01T09:20:30.590+09:00
2439,0.05,76.64,11831.02,2198.5534,2201.975,855517.22,2020-12-01T09:25:20.127+09:00
2439,0.08,76.84,11827.42,2203.6168,2208.1284,855389.16,2020-12-01T09:30:42.609+09:00
2439,0.07,76.56,11781.96,2204.2092,2208.6798,855311.3,2020-12-01T09:35:32.325+09:00
2439,0.2,77.46,11776.54,2201.3374,2206.9624,855501.28,2020-12-01T09:40:21.705+09:00
2439,0.12,77.9,11757.46,2200.2178,2206.1278,848584.64,2020-12-01T09:45:40.237+09:00
2439,0.1,77.08,11738.22,2202.169,2207.4446,848343.86,2020-12-01T09:50:30.267+09:00
2439,0.07,77.66,11706.48,2204.2924,2205.9522,848345.6,2020-12-01T09:55:20.766+09:00
2439,0,78.06,11700.52,2204.9702,2210.6454,848521.96,2020-12-01T10:00:40.480+09:00
2439,0,77.92,11682.38,2205.7366,2210.6608,848437.5,2020-12-01T10:05:31.000+09:00
2439,0.09,76.86,11682.08,2207.138,2209.6664,855380.1,2020-12-01T10:10:21.915+09:00
2439,0.25,77.3,11635.86,2206.6678,2206.958,855400.04,2020-12-01T10:15:41.704+09:00
2439,0.05,76.72,11663.2,2210.1308,2208.2164,855299.76,2020-12-01T10:20:31.653+09:00
2439,0,76.72,11663.38,2200.7548,2197.4128,855795.78,2020-12-01T10:25:22.066+09:00
2439,0.2,76.8,11655.92,2200.4286,2199.3606,856008.16,2020-12-01T10:30:41.629+09:00
2439,0,77.14,11657.46,2203.4482,2204.0122,856089.32,2020-12-01T10:35:32.306+09:00
2439,0.09,77.72,11644.14,2199.2206,2196.4684,849463.48,2020-12-01T10:40:21.437+09:00
2439,0.07,77.14,11657.14,2196.4032,2193.2448,849766.8,2020-12-01T10:45:41.791+09:00
2439,0,76.82,11674,2189.3078,2184.1122,850244.74,2020-12-01T10:50:32.424+09:00
2439,0,76.38,11653.66,2190.3732,2184.2026,850281.8,2020-12-01T10:55:22.174+09:00
2439,0.1,75.82,11627.9,2188.298,2184.1186,850510.92,2020-12-01T11:00:41.855+09:00
2439,0.06,75.7,11633.38,2191.1444,2189.6598,850214.34,2020-12-01T11:05:32.046+09:00
2439,0.11,75.8,11683.7,2189.168,2189.3962,857535.18,2020-12-01T11:10:21.367+09:00
2439,0.13,75.78,11655.16,2187.5498,2186.1808,857421.68,2020-12-01T11:15:41.865+09:00
2439,0,75.88,11681.98,2182.61,2180.8932,857643.7,2020-12-01T11:20:31.412+09:00
2439,0.07,75.56,11694.4,2178.58,2180.0418,857847.52,2020-12-01T11:25:21.692+09:00
2439,0.07,75.42,11723.96,2181.3332,2185.6554,857610.74,2020-12-01T11:35:31.627+09:00
2439,0.09,75.42,11729.32,2180.8052,2185.6158,857846.14,2020-12-01T11:40:23.085+09:00
2439,0.07,76.12,11700.36,2186.5956,2187.7162,850614,2020-12-01T11:45:44.365+09:00
2439,0.05,75.14,11729.32,2183.6292,2185.3,850757.98,2020-12-01T11:50:35.558+09:00
2439,0.07,74.6,11740.3,2184.2704,2186.3406,850581.48,2020-12-01T11:55:26.316+09:00
2439,0.05,74.28,11697.44,2187.3784,2186.4082,850109.2,2020-12-01T12:00:46.300+09:00
2439,0.1,74.5,11726.36,2192.2662,2192.0652,849807.7,2020-12-01T12:05:36.401+09:00
2439,0.13,74.3,11700.64,2186.5924,2186.9826,856949.38,2020-12-01T12:10:27.068+09:00
2439,0.1,75.08,11721.12,2186.7612,2187.775,856920.94,2020-12-01T12:15:47.677+09:00
2439,0,75.56,11696.08,2189.6454,2191.2944,856758.6,2020-12-01T12:20:36.930+09:00
