min_data_bytes,max_data_bytes,avg_databytes,std_dev_databytes,total_data_bytes,Processing_time
1251,1374,1342.8,24.89,107424,2020-12-15T21:05:22.334+09:00
1250,1374,1345.26,23.73,107621,2020-12-15T22:05:28.779+09:00
1216,1374,1342.51,28.69,107401,2020-12-16T00:05:45.078+09:00
1242,1374,1338.81,29.22,107105,2020-12-16T01:05:24.202+09:00
1225,1374,1347.21,25.27,107777,2020-12-16T02:05:30.531+09:00
1243,1374,1341.84,28.02,107347,2020-12-16T03:05:43.791+09:00
1232,1374,1345.35,26.84,107628,2020-12-16T06:05:35.160+09:00
1240,1374,1341.35,27.97,107308,2020-12-16T11:05:46.913+09:00
1254,1374,1337.5,28.74,107000,2020-12-16T12:05:20.309+09:00
1234,1374,1340.95,31.17,107276,2020-12-16T13:05:21.879+09:00
1221,1373,1333.98,32.22,106718,2020-12-16T14:05:27.236+09:00
1237,1374,1338.75,29.8,107100,2020-12-16T15:05:30.669+09:00
1236,1374,1337.88,32.96,107030,2020-12-16T18:05:26.350+09:00
1239,1372,1342.03,28.78,107362,2020-12-16T19:05:30.726+09:00
1248,1374,1341.08,28.67,107286,2020-12-16T20:05:35.918+09:00
