avg_tcp_window_size,std_dev_tcp_window_size,min_data_bytes,max_data_bytes,avg_databytes,std_dev_databytes,total_data_bytes,Processing_time
2439,0.09,67,13084,2179.946,2186.7188,850379.46,2020-12-01T14:45:23.987+09:00
2439,0.05,61,11937,2180.1738,2188.0578,850099.24,2020-12-01T14:50:44.365+09:00
2439,0.08,68,12293,2188.4506,2197.957,849629.64,2020-12-01T14:55:34.215+09:00
2439,0.07,78,11926,2192.876,2195.152,849230.52,2020-12-01T15:00:24.178+09:00
2439,0.06,103,11234,2189.3148,2187.618,849668.68,2020-12-01T15:05:45.524+09:00
2439,0.08,59,12113,2191.3934,2190.2728,856555.06,2020-12-01T15:10:36.715+09:00
2439,0.11,63,13084,2192.4208,2192.2158,856467.48,2020-12-01T15:15:27.134+09:00
2439,0.09,61,12067,2198.0004,2197.4012,856217.36,2020-12-01T15:20:47.324+09:00
2439,0.09,74,11570,2196.0374,2198.183,856236.2,2020-12-01T15:25:37.516+09:00
2439,0.22,61,11886,2195.3432,2199.4092,856187.36,2020-12-01T15:30:29.363+09:00
2439,0.1,67,13084,2200.7114,2206.0478,855972.28,2020-12-01T15:35:22.411+09:00
2439,0.12,69,11657,2203.2572,2208.3394,848786.4,2020-12-01T15:40:43.279+09:00
2439,0.1,64,13084,2206.1418,2212.1966,848562.04,2020-12-01T15:45:34.029+09:00
2439,0,59,12583,2212.398,2217.208,848201.96,2020-12-01T15:50:23.673+09:00
2439,0.09,69,12028,2212.5984,2217.8938,848146.92,2020-12-01T15:55:46.244+09:00
2439,0.08,61,11235,2210.224,2214.274,848201.96,2020-12-01T16:00:35.217+09:00
2439,0.2,105,11636,2212.316,2217.9544,847839.1,2020-12-01T16:05:25.020+09:00
2439,0.09,59,13084,2206.7388,2216.2202,855245.32,2020-12-01T16:15:33.074+09:00
2439,0.09,99,11496,2208.5374,2218.3198,855084.54,2020-12-01T16:20:22.344+09:00
2439,0.07,69,10076,2207.3756,2218.2402,855381.92,2020-12-01T16:25:43.541+09:00
2439,0.1,87,11881,2210.2712,2222.8972,855368.92,2020-12-01T16:30:36.040+09:00
2439,0.05,88,11256,2208.2464,2220.8796,855450.76,2020-12-01T16:35:26.736+09:00
2439,0.09,105,12606,2205.402,2218.9666,848592.56,2020-12-01T16:40:46.724+09:00
2439,0.07,85,11636,2201.8218,2215.9394,848818.66,2020-12-01T16:45:37.484+09:00
2439,0.07,61,11284,2200.4502,2212.145,849165.38,2020-12-01T16:55:46.028+09:00
2439,0.13,71,13084,2203.1654,2217.9272,849144.64,2020-12-01T17:00:36.051+09:00
2439,0.1,77,10188,2210.028,2224.0688,848677.38,2020-12-01T17:05:26.321+09:00
2439,0.61,72,11495,2218.0638,2233.076,855279.04,2020-12-01T17:10:46.189+09:00
2439,0.14,76,13084,2216.6982,2234.127,855348.3,2020-12-01T17:15:35.267+09:00
2439,0.07,77,12841,2220.8834,2238.789,855161.66,2020-12-01T17:20:24.457+09:00
2439,0.09,100,11636,2222.7436,2239.0288,854896.12,2020-12-01T17:25:43.182+09:00
2439,0.15,97,11530,2223.2236,2239.072,855031.52,2020-12-01T17:30:33.171+09:00
2439,0.1,61,12550,2227.6128,2243.4132,854711.48,2020-12-01T17:35:22.914+09:00
2439,0.1,68,13084,2226.5856,2240.2484,855003.86,2020-12-01T17:40:41.341+09:00
2439,0.15,71,11636,2231.1048,2245.1422,847598.12,2020-12-01T17:45:30.678+09:00
2439,0.08,80,11863,2234.5864,2247.336,847114.68,2020-12-01T17:50:19.978+09:00
2439,0.11,61,11990,2236.7114,2250.676,846954.48,2020-12-01T17:55:40.192+09:00
2439,0.1,96,12081,2242.7282,2256.701,846580.14,2020-12-01T18:00:29.120+09:00
2439,0.14,102,12651,2248.0246,2262.2126,846320.96,2020-12-01T18:05:49.031+09:00
2439,0.08,99,11571,2248.1108,2264.5522,853567,2020-12-01T18:10:37.723+09:00
2439,0.11,62,11834,2248.199,2263.8288,853687.14,2020-12-01T18:15:27.126+09:00
2439,0.09,126,11558,2249.7612,2269.6164,853603.36,2020-12-01T18:20:47.029+09:00
2439,0.1,59,11643,2247.3632,2269.9424,853817.68,2020-12-01T18:25:37.058+09:00
2439,0.07,61,13022,2242.0382,2262.9048,853776.46,2020-12-01T18:30:27.294+09:00
2439,0.11,65,13084,2244.7696,2264.8984,853480.26,2020-12-01T18:35:46.790+09:00
2439,0,84,11398,2249.6258,2268.7802,853140.86,2020-12-01T18:40:36.243+09:00
2439,0.08,61,11370,2238.9792,2261.0518,846729.54,2020-12-01T18:45:25.641+09:00
2439,0.1,69,13084,2239.2294,2262.4104,846803.38,2020-12-01T18:50:44.843+09:00
2439,0.16,92,10188,2235.1926,2257.286,847208.64,2020-12-01T19:00:23.062+09:00
2439,0.07,59,13084,2236.771,2259.1372,847334.3,2020-12-01T19:05:43.381+09:00
2439,0,64,12304,2229.0416,2250.1962,854418.06,2020-12-01T19:10:32.026+09:00
2439,0.21,66,12384,2229.473,2250.499,854395.6,2020-12-01T19:15:21.091+09:00
2439,0.05,75,12821,2224.8432,2246.7774,854506.96,2020-12-01T19:20:40.507+09:00
2439,0.05,70,13084,2224.5022,2251.1264,854381.44,2020-12-01T19:25:29.964+09:00
2439,0.11,61,10233,2229.1658,2256.876,853877.48,2020-12-01T19:35:38.816+09:00
2439,0,70,11141,2229.964,2261.818,853698.4,2020-12-01T19:40:27.996+09:00
2439,0.07,76,11636,2231.0836,2260.4488,846744.08,2020-12-01T19:45:46.810+09:00
2439,0.07,85,11515,2224.2746,2252.9452,847234.72,2020-12-01T19:50:35.193+09:00
2439,0.05,65,11608,2224.7806,2250.5882,847189.94,2020-12-01T19:55:23.785+09:00
2439,0.11,94,11932,2224.8282,2247.7542,847208.82,2020-12-01T20:00:43.554+09:00
2439,0.06,83,11821,2218.838,2242.2066,847368.5,2020-12-01T20:05:32.500+09:00
2439,0.05,102,13084,2218.2004,2243.3498,854340.18,2020-12-01T20:10:21.818+09:00
2439,0.05,87,11086,2215.2946,2240.314,854599.5,2020-12-01T20:15:41.659+09:00
2439,0.07,119,11584,2213.4716,2240.1598,854688.32,2020-12-01T20:20:30.279+09:00
2439,0.11,62,11705,2214.5952,2242.6252,854578.64,2020-12-01T20:30:38.920+09:00
2439,0.15,63,13084,2212.9644,2241.0786,854643.54,2020-12-01T20:35:27.729+09:00
2439,0.05,59,12278,2210.5662,2237.614,854915.16,2020-12-01T20:40:47.005+09:00
2439,0.09,69,13484,2214.3542,2242.2786,847592.42,2020-12-01T20:45:36.979+09:00
2439,0.05,61,11967,2215.0558,2241.484,847577.26,2020-12-01T20:50:25.929+09:00
2439,0.14,63,11621,2210.4694,2235.9264,847767.52,2020-12-01T20:55:45.676+09:00
2439,0.17,61,11636,2210.229,2235.609,847677.34,2020-12-01T21:00:35.052+09:00
2439,0.14,61,12428,2208.701,2236.467,847770.66,2020-12-01T21:05:23.711+09:00
2439,0.1,62,11898,2216.0402,2244.5536,854437.86,2020-12-01T21:10:42.373+09:00
2439,0.15,64,11562,2216.493,2242.2066,854366.84,2020-12-01T21:15:32.220+09:00
2439,0.05,92,11040,2218.6672,2244.429,854072.24,2020-12-01T21:20:22.907+09:00
2439,0.15,89,11914,2218.7286,2245.0706,853920.34,2020-12-01T21:25:41.972+09:00
2439,0.09,72,11901,2213.0248,2240.1946,854430.7,2020-12-01T21:30:31.506+09:00
2439,0.07,61,13084,2210.1408,2235.7456,854798.22,2020-12-01T21:35:21.377+09:00
2439,0.11,60,12434,2212.933,2240.5578,854459.64,2020-12-01T21:40:41.788+09:00
2439,0.09,61,12079,2209.3952,2235.1868,847567.92,2020-12-01T21:45:30.322+09:00
2439,0.1,61,13084,2211.7312,2241.832,847206.98,2020-12-01T21:50:20.548+09:00
2439,0.13,97,12949,2206.8454,2237.4616,847526.14,2020-12-01T21:55:40.734+09:00
2439,0.1,63,11523,2204.8438,2231.4246,847571.3,2020-12-01T22:00:30.573+09:00
2439,0.07,133,13084,2204.6974,2234.6342,847554.8,2020-12-01T22:05:19.521+09:00
2439,0.14,60,11240,2200.0856,2228.6824,855179.94,2020-12-01T22:10:39.874+09:00
2439,0.07,60,13070,2196.758,2224.4942,855427.1,2020-12-01T22:15:30.006+09:00
2439,0.05,60,11636,2193.6898,2220.2604,855433.82,2020-12-01T22:20:19.908+09:00
2439,0.1,62,13003,2189.5776,2215.1706,855741.34,2020-12-01T22:25:38.147+09:00
2439,0.05,70,11821,2184.9816,2210.4084,856116.28,2020-12-01T22:30:26.857+09:00
2439,0.13,70,13084,2185.8262,2211.4312,855901.24,2020-12-01T22:35:46.249+09:00
2439,0.05,99,11636,2189.1874,2215.2642,855563.06,2020-12-01T22:40:36.552+09:00
2439,0.08,60,11384,2183.4968,2208.5894,848658.64,2020-12-01T22:45:25.104+09:00
2439,0.12,62,11184,2182.224,2206.1728,848804.36,2020-12-01T22:50:44.046+09:00
2439,0.11,61,11957,2182.6294,2205.8454,849186.78,2020-12-01T22:55:33.500+09:00
2439,0.07,64,11675,2177.6936,2203.755,849437.86,2020-12-01T23:00:23.262+09:00
2439,0.13,101,10825,2175.4696,2202.614,849567.98,2020-12-01T23:05:42.367+09:00
2439,0.11,67,11550,2183.6156,2209.8708,856242.44,2020-12-01T23:15:19.589+09:00
2439,0.2,64,11718,2185.3208,2212.51,855978,2020-12-01T23:20:38.903+09:00
2439,0.07,78,12360,2189.8216,2218.412,855493.72,2020-12-01T23:25:28.757+09:00
